Set,MSE_Mean,MSE_Std,MAE_Mean,MAE_Std,MAPE_Mean,MAPE_Std
7,0.02370096888551952,0.0007912583856883765,0.10910184374317534,0.0025228224433147058,33.886341637499385,3.107061874923016
3,0.027882410188969135,0.005097417034404427,0.13044809692610643,0.022859249189670264,48.66945665950577,14.519249259937524
8,0.056096253276297345,0.0018003162399639642,0.18657843126907867,0.002209270740533397,73.80497571003264,1.6956512718149428
1,0.05726573126117965,0.0011761911258577628,0.18960163334126146,0.0017789522037784554,75.86042772712457,1.1027264659187006
5,0.057293984371716705,0.0011601710996345506,0.18984776663861383,0.0024724268931099243,76.1356941523729,1.8922555228865938
10,0.057296704103162906,0.0011723017124383643,0.18943604837135739,0.00213267214096652,75.59675835131421,1.5835666763616583
2,0.0797349699109976,0.07768146781933508,0.20268863639649204,0.11498132830509594,61.52246910680839,27.169523563299293
9,0.09607078369970304,0.0674166901061844,0.24142733083807755,0.08902512577297483,82.1944164476396,10.282866806226712
6,0.1286002154489346,0.08563596221467738,0.28122619639215474,0.1155748808100718,83.65312267669327,16.523582699982377
4,0.17515787260803084,0.06684517949739384,0.34632554201420596,0.08672410144478672,95.14795589350894,8.40268112001731
